flatness164,421.119,1020.13,6.566
flatness165,421.118,1070.128,6.522
flatness166,421.117,1120.129,6.481
flatness167,421.117,1170.129,6.452
flatness168,471.112,1120.126,6.49
flatness169,471.119,1070.129,6.529
flatness170,471.118,1020.128,6.573
flatness171,471.119,970.127,6.609
flatness172,471.116,920.128,6.632
flatness173,471.116,870.13,6.646
flatness174,471.111,820.128,6.653
flatness175,471.116,770.129,6.666
flatness176,471.115,720.13,6.676
flatness177,471.122,670.13,6.687
flatness178,471.113,620.132,6.695
flatness179,471.117,570.129,6.696
flatness180,471.115,520.129,6.69
flatness181,471.117,470.13,6.677
flatness182,471.117,420.128,6.661
flatness183,471.112,370.13,6.642
flatness184,471.117,320.129,6.625
flatness185,471.117,270.129,6.61
flatness186,471.117,220.129,6.596
flatness187,471.114,170.132,6.579
flatness188,471.117,120.128,6.555
flatness189,471.111,70.131,6.521
flatness190,471.117,20.129,6.493
flatness191,521.12,20.133,6.486
flatness192,521.115,70.131,6.512
flatness193,521.123,120.128,6.547
flatness194,521.117,170.128,6.573
flatness195,521.125,220.127,6.591
flatness196,521.117,270.13,6.606
flatness197,521.123,320.128,6.622
flatness198,521.11,370.132,6.639
flatness199,521.115,420.126,6.662
flatness200,521.116,470.132,6.682
flatness201,521.124,520.128,6.695
flatness202,521.114,570.128,6.704
flatness203,521.121,620.124,6.703
flatness204,521.123,670.128,6.696
flatness205,521.117,720.129,6.682
flatness206,521.117,770.13,6.666
flatness207,521.122,820.128,6.654
flatness208,521.11,870.132,6.648
flatness209,521.12,920.13,6.634
flatness210,521.129,970.125,6.613
flatness211,521.116,1020.13,6.579
flatness212,521.112,1070.13,6.541
flatness213,521.115,1120.129,6.507
flatness214,571.12,1070.127,6.564
flatness215,571.116,1020.131,6.596
flatness216,571.116,970.128,6.625
flatness217,571.116,920.129,6.643
flatness218,571.109,870.132,6.655
flatness219,571.12,820.128,6.664
flatness220,571.12,770.126,6.678
flatness221,571.123,720.128,6.694
flatness222,571.116,670.129,6.709
flatness223,571.116,620.126,6.718
flatness224,571.119,570.128,6.719
flatness225,571.122,520.128,6.71
flatness226,571.115,470.128,6.692
flatness227,571.117,420.128,6.671
flatness228,571.117,370.129,6.645
flatness229,571.118,320.128,6.626
flatness230,571.113,270.129,6.609
flatness231,571.123,220.127,6.595
flatness232,571.117,170.129,6.575
flatness233,571.114,120.13,6.547
flatness234,571.118,70.129,6.513
flatness235,571.122,20.127,6.485
flatness236,621.124,20.129,6.479
flatness237,621.113,70.12,6.508
flatness238,621.116,120.129,6.544
flatness239,621.116,170.131,6.573
flatness240,621.117,220.13,6.592
flatness241,621.117,270.129,6.608
flatness242,621.122,320.126,6.626
flatness243,621.116,370.129,6.647
flatness244,621.116,420.129,6.671
flatness245,621.117,470.13,6.697
flatness246,621.116,520.129,6.717
flatness247,621.114,570.13,6.728
flatness248,621.116,620.129,6.726
flatness249,621.117,670.131,6.717
flatness250,621.116,720.129,6.701
flatness251,621.119,770.129,6.686
flatness252,621.116,820.128,6.671
flatness253,621.111,870.131,6.66
flatness254,621.117,920.129,6.65
flatness255,621.117,970.129,6.635
flatness256,621.119,1020.127,6.611
flatness257,671.117,1020.129,6.63
flatness258,671.118,970.128,6.652
flatness259,671.114,920.13,6.667
flatness260,671.119,870.127,6.677
flatness261,671.117,820.128,6.686
flatness262,671.111,770.131,6.7
flatness263,671.115,720.129,6.714
flatness264,671.126,670.128,6.729
flatness265,671.112,620.131,6.737
flatness266,671.116,570.128,6.74
flatness267,671.116,520.129,6.73
flatness268,671.118,470.128,6.708
flatness269,671.118,420.132,6.682
flatness270,671.117,370.129,6.656
flatness271,671.116,320.132,6.636
flatness272,671.116,270.129,6.618
flatness273,671.111,220.132,6.597
flatness274,671.111,170.133,6.576
flatness275,671.122,120.124,6.546
flatness276,671.116,70.13,6.508
flatness277,671.12,20.128,6.479
flatness278,721.116,20.128,6.471
flatness279,721.113,70.128,6.501
flatness280,721.115,120.13,6.54
flatness281,721.125,170.127,6.574
flatness282,721.117,220.13,6.599
flatness283,721.113,270.129,6.62
flatness284,721.12,320.128,6.637
flatness285,721.116,370.13,6.658
flatness286,721.116,420.128,6.681
flatness287,721.114,470.13,6.702
flatness288,721.115,520.13,6.722
flatness289,721.116,570.127,6.73
flatness290,721.116,620.128,6.727
flatness291,721.116,670.13,6.72
flatness292,721.115,720.13,6.712
flatness293,721.122,770.125,6.702
flatness294,721.12,820.126,6.692
flatness295,721.125,870.127,6.684
flatness296,721.117,920.129,6.67
flatness297,721.193,970.095,6.612
flatness298,771.121,970.132,6.636
flatness299,771.117,920.128,6.664
flatness300,771.124,870.124,6.682
flatness301,771.121,820.126,6.69
flatness302,771.121,770.129,6.696
flatness303,771.117,720.129,6.701
flatness304,771.125,670.127,6.707
flatness305,771.127,620.125,6.71
flatness306,771.111,570.132,6.71
flatness307,771.118,520.128,6.702
flatness308,771.117,470.129,6.688
flatness309,771.117,420.128,6.672
flatness310,771.125,370.124,6.653
flatness311,771.107,320.125,6.638
flatness312,771.111,270.131,6.621
flatness313,771.124,220.126,6.601
flatness314,771.114,170.126,6.573
flatness315,771.113,120.129,6.536
flatness316,771.112,70.133,6.494
flatness317,771.116,20.128,6.462
flatness318,821.114,20.129,6.454
flatness319,821.111,70.133,6.486
flatness320,821.124,120.126,6.528
flatness321,821.124,170.127,6.57
flatness322,821.115,220.129,6.599
flatness323,821.112,270.129,6.619
flatness324,821.118,320.129,6.633
flatness325,821.121,370.128,6.645
flatness326,821.114,420.128,6.658
flatness327,821.117,470.129,6.674
flatness328,821.119,520.129,6.686
flatness329,821.114,570.126,6.695
flatness330,821.117,620.129,6.695
flatness331,821.117,670.129,6.691
flatness332,821.116,720.13,6.688
flatness333,821.116,770.128,6.686
flatness334,821.123,820.127,6.682
flatness335,821.11,870.131,6.673
flatness336,821.113,920.129,6.654
flatness337,871.121,920.127,6.655
flatness338,871.115,870.131,6.678
flatness339,871.112,820.129,6.687
flatness340,871.127,770.126,6.69
flatness341,871.119,720.127,6.69
flatness342,871.115,670.13,6.692
flatness343,871.118,620.128,6.694
flatness344,871.118,570.128,6.695
flatness345,871.119,520.128,6.687
flatness346,871.116,470.129,6.675
flatness347,871.117,420.129,6.66
flatness348,871.116,370.129,6.648
flatness349,871.122,320.133,6.637
flatness350,871.123,270.129,6.624
flatness351,871.122,220.127,6.605
flatness352,871.119,170.127,6.575
flatness353,871.113,120.126,6.534
flatness354,871.123,70.126,6.492
flatness355,871.126,20.125,6.46
flatness356,921.114,20.129,6.456
flatness357,921.124,70.125,6.487
flatness358,921.114,120.13,6.529
flatness359,921.117,170.129,6.569
flatness360,921.119,220.127,6.603
flatness361,921.117,270.129,6.624
flatness362,921.118,320.128,6.635
flatness363,921.115,370.13,6.645
flatness364,921.116,420.13,6.657
flatness365,921.117,470.129,6.67
flatness366,921.122,520.126,6.679
flatness367,921.111,570.127,6.687
flatness368,921.122,620.127,6.687
flatness369,921.117,670.128,6.685
flatness370,921.117,720.129,6.684
flatness371,921.122,770.126,6.684
flatness372,921.117,820.129,6.681
flatness373,921.119,870.13,6.671
flatness374,971.121,820.126,6.673
flatness375,971.12,770.127,6.679
flatness376,971.118,720.132,6.68
flatness377,971.126,670.127,6.68
